ID1	ID2	NMARK	NCOMMON	IBD0	IBD1_MAX	IBD1_NSEGS	IBD1	IBD2_MAX	IBD2_NSEGS	IBD2	SEX
24202puebel	24231puebel	9824285	0	0.920599	5829	531	0.079084	919	5	0.000318	00
24202puebel	24237puebel	9824285	0	0.905726	6701	601	0.093301	973	16	0.000973	00
24222puebel	24235puebel	9824285	0	0.915734	5866	551	0.083906	715	6	0.000360	00
24230puebel	24233puebel	9824285	0	0.920084	25908	519	0.079235	846	10	0.000681	00
24231puebel	24233puebel	9824285	0	0.921889	4809	517	0.077357	958	11	0.000753	00
24233puebel	24235puebel	9824285	0	0.918349	4683	537	0.081113	713	9	0.000538	00
24235puebel	24237puebel	9824285	0	0.912213	4944	553	0.087410	738	6	0.000377	00
24202puebel	24241puebel	9824285	0	0.908740	6508	597	0.090648	729	10	0.000612	00
24202puebel	24245puebel	9824285	0	0.903537	8130	615	0.096058	689	7	0.000406	00
24222puebel	24241puebel	9824285	0	0.909544	5621	573	0.089537	921	14	0.000919	00
24222puebel	24245puebel	9824285	0	0.912106	5151	554	0.087286	827	10	0.000608	00
24230puebel	24241puebel	9824285	0	0.920253	5785	530	0.079372	719	6	0.000375	00
24230puebel	24245puebel	9824285	0	0.915292	5656	556	0.084408	707	5	0.000300	00
24231puebel	24241puebel	9824285	0	0.921649	5406	517	0.077649	1075	10	0.000703	00
24231puebel	24245puebel	9824285	0	0.919616	6016	532	0.080179	933	3	0.000205	00
24233puebel	24241puebel	9824285	0	0.910624	9093	580	0.089037	631	6	0.000339	00
24233puebel	24245puebel	9824285	0	0.907849	7973	588	0.091488	902	11	0.000662	00
24235puebel	24241puebel	9824285	0	0.917397	8615	554	0.082155	1531	5	0.000448	00
24235puebel	24245puebel	9824285	0	0.917075	5685	550	0.082636	665	5	0.000289	00
24236puebel	24241puebel	9824285	0	0.925219	7329	503	0.074221	1468	8	0.000560	00
24236puebel	24245puebel	9824285	0	0.926784	5286	496	0.072795	783	7	0.000422	00
24237puebel	24241puebel	9824285	0	0.909073	6625	581	0.090360	789	9	0.000567	00
24237puebel	24245puebel	9824285	0	0.903265	7313	618	0.096138	813	9	0.000597	00
24238puebel	24242puebel	9824285	0	0.916681	6293	537	0.082867	840	7	0.000452	00
24238puebel	24246puebel	9824285	0	0.916336	5587	524	0.082879	1238	11	0.000786	00
24239puebel	24244puebel	9824285	0	0.916244	6019	553	0.083442	730	5	0.000314	00
24241puebel	24243puebel	9824285	0	0.920125	4724	532	0.079238	1044	10	0.000636	00
24242puebel	24243puebel	9824285	0	0.920158	5750	519	0.079192	1915	7	0.000651	00
24243puebel	24244puebel	9824285	0	0.921558	6888	510	0.077996	792	7	0.000446	00
24244puebel	24246puebel	9824285	0	0.909368	5549	580	0.090344	630	5	0.000287	00
24202puebel	24249puebel	9824285	0	0.909850	6163	565	0.089783	747	6	0.000367	00
24202puebel	24259puebel	9824285	0	0.917451	13074	554	0.082175	766	6	0.000374	00
24222puebel	24249puebel	9824285	0	0.911385	8881	547	0.087746	1166	12	0.000869	00
24222puebel	24259puebel	9824285	0	0.912389	7937	558	0.086846	816	13	0.000765	00
24230puebel	24249puebel	9824285	0	0.916825	23902	534	0.082844	764	5	0.000331	00
24230puebel	24259puebel	9824285	0	0.920166	23963	502	0.079529	719	5	0.000305	00
24231puebel	24249puebel	9824285	0	0.918903	6004	532	0.080835	935	4	0.000262	00
24231puebel	24259puebel	9824285	0	0.921655	5028	532	0.077737	845	10	0.000607	00
24233puebel	24249puebel	9824285	0	0.895127	28998	601	0.103594	1008	19	0.001280	00
24233puebel	24259puebel	9824285	0	0.903403	23944	584	0.095786	835	13	0.000811	00
24235puebel	24249puebel	9824285	0	0.911517	7880	571	0.088253	632	4	0.000230	00
24235puebel	24259puebel	9824285	0	0.920303	7074	527	0.079062	1096	9	0.000635	00
24236puebel	24249puebel	9824285	0	0.915457	6743	531	0.084075	730	8	0.000469	00
24236puebel	24259puebel	9824285	0	0.925775	4523	517	0.073887	860	5	0.000339	00
24237puebel	24249puebel	9824285	0	0.896750	21276	622	0.102541	1279	10	0.000708	00
24237puebel	24259puebel	9824285	0	0.902804	44034	593	0.097075	618	2	0.000121	00
24238puebel	24249puebel	9824285	0	0.912784	7754	564	0.086623	743	10	0.000592	00
24238puebel	24259puebel	9824285	0	0.915333	5504	555	0.084023	1254	9	0.000645	00
24239puebel	24249puebel	9824285	0	0.895363	13913	614	0.104088	1154	8	0.000549	00
24239puebel	24259puebel	9824285	0	0.916396	4545	565	0.083285	866	5	0.000319	00
24241puebel	24249puebel	9824285	0	0.913953	4785	564	0.085313	934	11	0.000735	00
24241puebel	24259puebel	9824285	0	0.921293	6981	532	0.078247	764	7	0.000460	00
24242puebel	24249puebel	9824285	0	0.904855	6059	602	0.094578	1200	8	0.000567	00
24242puebel	24259puebel	9824285	0	0.918842	6598	547	0.080915	697	4	0.000244	00
24243puebel	24249puebel	9824285	0	0.917101	6441	540	0.082632	879	4	0.000268	00
24243puebel	24259puebel	9824285	0	0.919511	8223	536	0.080373	577	2	0.000116	00
24244puebel	24249puebel	9824285	0	0.913684	7463	550	0.085927	892	6	0.000390	00
