ID1	ID2	NMARK	NCOMMON	IBD0	IBD1_MAX	IBD1_NSEGS	IBD1	IBD2_MAX	IBD2_NSEGS	IBD2	SEX
24202puebel	24231puebel	10166233	0	0.903262	6636	622	0.095722	919	17	0.001016	00
24202puebel	24237puebel	10166233	0	0.885192	7567	692	0.113000	946	29	0.001807	00
24222puebel	24235puebel	10166233	0	0.898527	7627	640	0.100750	857	12	0.000722	00
24230puebel	24233puebel	10166233	0	0.901432	27098	621	0.097337	852	19	0.001231	00
24231puebel	24233puebel	10166233	0	0.907209	4754	614	0.091794	960	16	0.000997	00
24233puebel	24235puebel	10166233	0	0.900312	7258	639	0.098408	1046	21	0.001280	00
24235puebel	24237puebel	10166233	0	0.892344	7324	660	0.106611	1285	16	0.001045	00
24202puebel	24241puebel	10166233	0	0.886749	7062	708	0.111428	1440	26	0.001822	00
24202puebel	24245puebel	10166233	0	0.885052	10270	705	0.113921	843	16	0.001027	00
24222puebel	24241puebel	10166233	0	0.892312	7980	671	0.106288	1994	21	0.001401	00
24222puebel	24245puebel	10166233	0	0.895236	7281	647	0.103295	1830	22	0.001469	00
24230puebel	24241puebel	10166233	0	0.903635	7884	617	0.095286	836	18	0.001079	00
24230puebel	24245puebel	10166233	0	0.898729	7664	653	0.100130	843	18	0.001140	00
24231puebel	24241puebel	10166233	0	0.904498	8150	613	0.094368	1077	18	0.001133	00
24231puebel	24245puebel	10166233	0	0.904935	6811	601	0.094057	1002	16	0.001007	00
24233puebel	24241puebel	10166233	0	0.896029	8830	655	0.103036	947	15	0.000935	00
24233puebel	24245puebel	10166233	0	0.890610	10439	681	0.107906	976	23	0.001484	00
24235puebel	24241puebel	10166233	0	0.900027	9069	649	0.098704	1531	17	0.001269	00
24235puebel	24245puebel	10166233	0	0.900285	7698	629	0.098491	1414	19	0.001224	00
24236puebel	24241puebel	10166233	0	0.907606	9014	603	0.091202	1468	19	0.001192	00
24236puebel	24245puebel	10166233	0	0.905802	7856	617	0.092971	1277	19	0.001227	00
24237puebel	24241puebel	10166233	0	0.891807	6578	674	0.106834	1047	23	0.001358	00
24237puebel	24245puebel	10166233	0	0.887971	7615	703	0.110419	1302	25	0.001610	00
24238puebel	24242puebel	10166233	0	0.897441	13773	629	0.101056	1347	23	0.001503	00
24238puebel	24246puebel	10166233	0	0.896491	6518	619	0.101967	1238	23	0.001541	00
24239puebel	24244puebel	10166233	0	0.900757	6530	628	0.098379	889	15	0.000863	00
24241puebel	24243puebel	10166233	0	0.899630	7050	644	0.099103	1261	20	0.001267	00
24242puebel	24243puebel	10166233	0	0.902221	7606	602	0.096605	1910	15	0.001174	00
24243puebel	24244puebel	10166233	0	0.905342	6888	606	0.093671	792	16	0.000987	00
24244puebel	24246puebel	10166233	0	0.891934	6380	662	0.107444	676	11	0.000622	00
24202puebel	24249puebel	10166233	0	0.891027	8599	667	0.107740	1278	20	0.001233	00
24202puebel	24259puebel	10166233	0	0.899979	13596	643	0.098914	951	18	0.001108	00
24222puebel	24249puebel	10166233	0	0.893440	10071	641	0.105032	1163	21	0.001528	00
24222puebel	24259puebel	10166233	0	0.894402	9127	653	0.104370	917	20	0.001228	00
24230puebel	24249puebel	10166233	0	0.895244	25092	649	0.104016	831	12	0.000740	00
24230puebel	24259puebel	10166233	0	0.902771	25152	606	0.096678	740	9	0.000551	00
24231puebel	24249puebel	10166233	0	0.901052	7265	628	0.098410	935	9	0.000539	00
24231puebel	24259puebel	10166233	0	0.903846	6001	618	0.094928	844	20	0.001226	00
24233puebel	24249puebel	10166233	0	0.876201	30944	670	0.121342	1366	37	0.002457	00
24233puebel	24259puebel	10166233	0	0.887930	25133	653	0.110973	1163	17	0.001097	00
24235puebel	24249puebel	10166233	0	0.894053	9429	652	0.105264	908	11	0.000682	00
24235puebel	24259puebel	10166233	0	0.901151	8175	640	0.097591	1096	20	0.001258	00
24236puebel	24249puebel	10166233	0	0.895467	10599	616	0.103238	1016	21	0.001295	00
24236puebel	24259puebel	10166233	0	0.907127	8227	624	0.091978	860	15	0.000896	00
24237puebel	24249puebel	10166233	0	0.876879	22487	717	0.121620	1277	22	0.001501	00
24237puebel	24259puebel	10166233	0	0.886569	45830	672	0.112896	762	9	0.000535	00
24238puebel	24249puebel	10166233	0	0.892951	8353	681	0.105843	1159	19	0.001207	00
24238puebel	24259puebel	10166233	0	0.898784	5741	644	0.100104	1254	18	0.001112	00
24239puebel	24249puebel	10166233	0	0.874079	14408	708	0.124308	1157	24	0.001613	00
24239puebel	24259puebel	10166233	0	0.896205	6053	671	0.103117	815	11	0.000678	00
24241puebel	24249puebel	10166233	0	0.892960	9560	662	0.105399	1210	24	0.001640	00
24241puebel	24259puebel	10166233	0	0.905398	7647	611	0.093771	766	14	0.000831	00
24242puebel	24249puebel	10166233	0	0.886456	10392	692	0.112548	1200	15	0.000996	00
24242puebel	24259puebel	10166233	0	0.899262	5637	657	0.099937	912	13	0.000801	00
24243puebel	24249puebel	10166233	0	0.897585	7049	647	0.101080	1979	18	0.001336	00
24243puebel	24259puebel	10166233	0	0.903827	13654	610	0.095661	1071	8	0.000512	00
24244puebel	24249puebel	10166233	0	0.895441	8687	650	0.103428	1149	17	0.001132	00
24244puebel	24259puebel	10166233	0	0.893344	16837	651	0.106066	1376	9	0.000591	00
24245puebel	24249puebel	10166233	0	0.893592	7268	653	0.105078	843	22	0.001330	00
24245puebel	24259puebel	10166233	0	0.894453	6632	654	0.104539	973	17	0.001008	00
24246puebel	24249puebel	10166233	0	0.881326	11342	706	0.116913	1288	26	0.001761	00
24246puebel	24259puebel	10166233	0	0.897300	8156	650	0.101348	941	22	0.001353	00
24247puebel	24250puebel	10166233	0	0.892587	7962	642	0.105175	4111	29	0.002238	00
24247puebel	24260puebel	10166233	0	0.898250	6771	650	0.100798	1203	15	0.000951	00
24248puebel	24256puebel	10166233	0	0.908123	10917	590	0.090599	2130	19	0.001278	00
24249puebel	24251puebel	10166233	0	0.886758	11162	673	0.111772	1335	23	0.001471	00
24250puebel	24251puebel	10166233	0	0.894640	8937	664	0.103720	1288	24	0.001640	00
24251puebel	24256puebel	10166233	0	0.901974	9811	616	0.096978	945	15	0.001047	00
24256puebel	24260puebel	10166233	0	0.906775	9920	585	0.092251	1016	15	0.000974	00
24202puebel	24263puebel	10166233	0	0.899393	6321	628	0.099274	1037	21	0.001333	00
24202puebel	24267puebel	10166233	0	0.879584	7169	712	0.119226	984	20	0.001190	00
24222puebel	24263puebel	10166233	0	0.903704	6884	596	0.095423	1209	12	0.000873	00
24222puebel	24267puebel	10166233	0	0.893776	8470	659	0.104926	1297	18	0.001298	00
24230puebel	24263puebel	10166233	0	0.910748	5875	581	0.088457	857	13	0.000794	00
24230puebel	24267puebel	10166233	0	0.900400	6162	602	0.098408	931	19	0.001192	00
24231puebel	24263puebel	10166233	0	0.902801	7211	627	0.096296	1201	15	0.000903	00
24231puebel	24267puebel	10166233	0	0.908339	5492	603	0.090686	928	16	0.000974	00
24233puebel	24263puebel	10166233	0	0.898686	5868	641	0.100335	829	17	0.000978	00
24233puebel	24267puebel	10166233	0	0.883569	17159	683	0.114167	2026	31	0.002264	00
24235puebel	24263puebel	10166233	0	0.900463	8532	646	0.098334	1106	19	0.001203	00
24235puebel	24267puebel	10166233	0	0.897642	7269	656	0.101056	1157	20	0.001302	00
24236puebel	24263puebel	10166233	0	0.906170	7685	610	0.093234	978	9	0.000596	00
24236puebel	24267puebel	10166233	0	0.895109	9666	634	0.103203	1285	25	0.001688	00
24237puebel	24263puebel	10166233	0	0.894859	5409	678	0.103931	888	20	0.001210	00
24237puebel	24267puebel	10166233	0	0.884899	9290	682	0.113939	959	18	0.001162	00
24238puebel	24263puebel	10166233	0	0.901889	8634	631	0.097265	936	13	0.000846	00
24238puebel	24267puebel	10166233	0	0.901594	6760	636	0.097198	909	19	0.001208	00
24239puebel	24263puebel	10166233	0	0.901809	6239	632	0.097161	1185	17	0.001029	00
24239puebel	24267puebel	10166233	0	0.882164	10350	702	0.115859	971	32	0.001977	00
24241puebel	24263puebel	10166233	0	0.897260	7313	674	0.101663	854	17	0.001078	00
24241puebel	24267puebel	10166233	0	0.886378	8809	715	0.112488	1194	16	0.001134	00
24242puebel	24263puebel	10166233	0	0.904973	6354	611	0.093960	1032	16	0.001066	00
24242puebel	24267puebel	10166233	0	0.883256	25026	693	0.115546	1802	18	0.001198	00
24243puebel	24263puebel	10166233	0	0.904446	6257	635	0.094435	873	18	0.001119	00
24243puebel	24267puebel	10166233	0	0.893590	8923	676	0.105338	899	18	0.001072	00
24244puebel	24263puebel	10166233	0	0.904633	6933	608	0.094098	889	21	0.001269	00
24244puebel	24267puebel	10166233	0	0.894826	7079	656	0.104028	1088	18	0.001146	00
24245puebel	24263puebel	10166233	0	0.898046	6407	661	0.101143	809	14	0.000811	00
24245puebel	24267puebel	10166233	0	0.883086	7922	719	0.115679	1057	20	0.001235	00
24246puebel	24263puebel	10166233	0	0.898207	6539	650	0.100542	1402	20	0.001251	00
24246puebel	24267puebel	10166233	0	0.884528	13503	689	0.113714	2130	25	0.001758	00
24247puebel	24263puebel	10166233	0	0.901691	8039	639	0.097392	882	15	0.000917	00
24247puebel	24267puebel	10166233	0	0.898837	7868	648	0.099918	1018	20	0.001245	00
24248puebel	24263puebel	10166233	0	0.901482	8076	644	0.097710	1633	11	0.000808	00
24248puebel	24267puebel	10166233	0	0.894609	9111	649	0.104133	749	22	0.001257	00
24249puebel	24263puebel	10166233	0	0.899630	7476	631	0.099207	946	19	0.001163	00
24249puebel	24267puebel	10166233	0	0.875488	10673	702	0.122432	1114	33	0.002080	00
24250puebel	24263puebel	10166233	0	0.902686	6859	606	0.096527	777	13	0.000788	00
24250puebel	24267puebel	10166233	0	0.892358	9428	670	0.106064	1070	23	0.001577	00
24251puebel	24263puebel	10166233	0	0.896391	7189	658	0.102514	1153	15	0.001095	00
24202puebel	24233puebel	10166233	0	0.883825	6975	707	0.114822	1184	22	0.001353	00
24222puebel	24230puebel	10166233	0	0.895150	9153	649	0.103809	1201	16	0.001041	00
24222puebel	24236puebel	10166233	0	0.908454	6496	582	0.090339	921	18	0.001207	00
24230puebel	24235puebel	10166233	0	0.908339	12890	595	0.091038	716	11	0.000622	00
24231puebel	24235puebel	10166233	0	0.904159	6959	616	0.094801	1298	16	0.001040	00
24233puebel	24236puebel	10166233	0	0.899190	18064	599	0.099281	1300	24	0.001529	00
24236puebel	24237puebel	10166233	0	0.905750	24603	588	0.092758	807	24	0.001492	00
24202puebel	24242puebel	10166233	0	0.885391	7895	686	0.113087	1375	24	0.001522	00
24202puebel	24246puebel	10166233	0	0.881088	7840	719	0.117217	1783	24	0.001695	00
24222puebel	24242puebel	10166233	0	0.894537	7032	642	0.103851	1024	26	0.001613	00
24222puebel	24246puebel	10166233	0	0.889537	7442	670	0.108802	1145	23	0.001660	00
24230puebel	24242puebel	10166233	0	0.902224	7292	612	0.096887	1071	14	0.000889	00
24230puebel	24246puebel	10166233	0	0.902799	8371	606	0.096426	914	13	0.000776	00
24231puebel	24242puebel	10166233	0	0.901715	5268	630	0.097398	1265	14	0.000887	00
24231puebel	24246puebel	10166233	0	0.900330	6738	641	0.098773	959	14	0.000897	00
24233puebel	24242puebel	10166233	0	0.889147	12003	672	0.109515	1081	20	0.001339	00
24233puebel	24246puebel	10166233	0	0.882607	13853	671	0.115798	1071	26	0.001595	00
24235puebel	24242puebel	10166233	0	0.900693	5849	635	0.098516	1213	11	0.000791	00
24235puebel	24246puebel	10166233	0	0.895934	5473	655	0.102690	1027	21	0.001377	00
24236puebel	24242puebel	10166233	0	0.902300	7855	619	0.096346	1173	21	0.001354	00
24236puebel	24246puebel	10166233	0	0.910507	10088	568	0.088570	783	16	0.000923	00
24237puebel	24242puebel	10166233	0	0.882828	9262	686	0.115302	1240	27	0.001870	00
24237puebel	24246puebel	10166233	0	0.882405	8285	704	0.115407	1357	32	0.002188	00
24238puebel	24243puebel	10166233	0	0.898821	5900	634	0.099485	1312	27	0.001694	00
24239puebel	24241puebel	10166233	0	0.892507	7303	677	0.105992	719	26	0.001500	00
24239puebel	24245puebel	10166233	0	0.894817	7686	649	0.103866	934	22	0.001317	00
24241puebel	24244puebel	10166233	0	0.905537	8590	599	0.093869	849	9	0.000593	00
24242puebel	24244puebel	10166233	0	0.896346	7429	681	0.102726	810	16	0.000928	00
24243puebel	24245puebel	10166233	0	0.901674	7669	611	0.097295	1018	17	0.001030	00
24245puebel	24246puebel	10166233	0	0.887535	6607	697	0.111115	901	23	0.001350	00
24202puebel	24250puebel	10166233	0	0.896436	7149	632	0.102159	1130	21	0.001405	00
24202puebel	24260puebel	10166233	0	0.891629	8000	671	0.106928	1774	21	0.001443	00
24222puebel	24250puebel	10166233	0	0.893532	8407	657	0.104953	836	26	0.001515	00
24222puebel	24260puebel	10166233	0	0.894340	6939	652	0.104631	1124	15	0.001029	00
24230puebel	24250puebel	10166233	0	0.908228	7280	597	0.090601	1232	16	0.001171	00
24230puebel	24260puebel	10166233	0	0.898130	8590	651	0.101013	870	14	0.000857	00
